area areas 
colony colonies 
place places 
plantation plantations 
section sections 
network networks 
army armies 
department departments 
religion religions 
vehicle vehicles 
subfamily genera 
shrine shrines 
priest priests 
marriage marriages 
activist activists 
airport airports 
book books 
organization organizations 
facade mosaics 
valley valleys 
country countries 
person people 
bishop bishops 
party parties 
centre centres 
site sites 
neighborhood neighborhoods 
hub hubs 
fortress fortresses 
parish parishes 
railroad railroads 
population populations 
novel novels 
home homes 
him them 
river rivers 
denomination denominations 
government governments 
branch branches 
house houses 
highway highways 
train trains 
group groups 
method methods 
farm farms 
prison prisons 
cathedral cathedrals 
type types 
tournament tournaments 
building buildings 
scene scenes 
monastery monasteries 
society societies 
village villages 
dome domes 
tribe tribes 
student students 
tehsil tehsils 
leader leaders 
cookbook recipes 
factory factories 
language languages 
kind kinds 
clan clans 
thing things 
street streets 
town towns 
zoo zoos 
statue statues 
stadium stadiums 
alphabet alphabets 
dialect dialects 
restaurant restaurants 
relationship relationships 
lineage lineages 
city cities 
movement movements 
camp camps 
tributary tributaries 
culture cultures 
family families 
deity deities 
location locations 
committee committees 
team teams 
park parks 
shop shops 
municipality municipalities 
story stories 
player players 
route routes 
settlement settlements 
service services 
prisoner prisoners 
mosque mosques 
form forms 
collection collections 
hotel hotels 
battle battles 
college colleges 
lake lakes 
province provinces 
painting paintings 
minister ministers 
hall halls 
center centers 
school schools 
castle castles 
teacher teachers 
station stations 
pattern patterns 
university universities 
program programs 
boat boats 
office offices 
basilica basilicas 
manufacturer manufacturers 
painter painters 
church churches 
library libraries 
monument monuments 
company companies 
system systems 
writer writers 
region regions 
palace palaces 
facility facilities 
fort forts 
island islands 
candidate candidates 
fountain fountains 
temple temples 
campus campuses 
county counties 
line lines 
road roads 
mission missions 
sequel sequels 
chapter chapters 
project projects 
port ports 
community communities 
territory territories 
sect sects 
club clubs 
ship ships 
member members 
hospital hospitals 
way ways 
part parts 
agency agencies 
constituency constituencies 
diocese dioceses 
myth myths 
room rooms 
principality principalities 
institution institutions 
cemetery cemeteries 
movie movies 
borough boroughs 
museum museums 
district districts 
residence residences 
event events 
city-state city-states 
channel channels 

